CaseNumber,ReportedDate,OffenseDate,Counts,IBRSeqNumber,IBRCrimeCode,Statute,Description,OffenseID
2023-00055020,8/20/2023,8/20/2023,1,1,23H,21-1705,GRAND LARCENY (ALL OTHER LARCENY),-1039195
2023-00055028,8/20/2023,8/20/2023,1,1,23H,21-1705,GRAND LARCENY (ALL OTHER LARCENY),-1039194
2023-00054716,8/19/2023,8/19/2023,1,1,23C,24-503,PETTY LARCENY,-1039193
2023-00054573,8/18/2023,8/18/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1039192
2023-00054645,8/19/2023,8/19/2023,1,2,90G,37-537.A7,TRANSPORTING OPEN BOTTLE OR CONTAINER - LIQUOR,-1039191
2023-00054645,8/19/2023,8/19/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1039190
2023-00054774,8/19/2023,8/19/2023,1,1,13A,21-652.C,ASSAULT/BATTERY WITH DEADLY WEAPON,-1039186
2023-00054646,8/19/2023,8/19/2023,1,1,90D,47-11.902.D,AGGRAVATED DUI /APC (=>.15 BAC),-1039185
2023-00055016,8/20/2023,8/20/2023,1,2,90G,37-537.A7,TRANSPORTING OPEN BOTTLE OR CONTAINER - LIQUOR,-1039184
2023-00055016,8/20/2023,8/20/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1039183
2023-00055170,8/21/2023,8/2/2023,1,1,11A,21-1111,RAPE (FORCIBLE RAPE),-1039182
2023-00054526,8/18/2023,8/18/2023,1,3,13C,21-1378.B,ACT OF VIOLENCE - THREATEN SERIOUS BODILY HARM OR DEATH,-1039181
2023-00054526,8/18/2023,8/18/2023,1,2,13A,21-645,ASSAULT &/OR BATTERY W/DANGEROUS WEAPON,-1039180
2023-00054526,8/18/2023,8/18/2023,1,1,220,21-1431,BURGLARY - FIRST DEGREE,-1039179
2023-00054458,8/18/2023,8/18/2023,1,3,88A,CWARR,WARRANT-CLEV COUNTY,-1039178
2023-00054458,8/18/2023,8/18/2023,1,2,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1039177
2023-00054458,8/18/2023,8/18/2023,1,1,35A,63-2.402.B.1,POSSESSION OF CDS,-1039176
2023-00054491,8/18/2023,8/18/2023,1,2,90Z,21-540,OBSTRUCTING OFFICER,-1039175
2023-00054491,8/18/2023,8/18/2023,1,1,13B,21-649,ASSAULT AND BATTERY ON A POLICE OFFICER (SIMPLE ASSAULT),-1039174
2023-00054904,8/20/2023,8/20/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1039173
2023-00052989,8/12/2023,8/11/2023,3,2,23H,21-1708,GRAND LARCENY AT NIGHT (ALL OTHER LARCENY),-1039172
2023-00052989,8/12/2023,8/11/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1039171
2023-00052182,8/8/2023,8/7/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1039170
2023-00049672,7/29/2023,7/29/2023,1,1,13B,21-644,ASSAULT AND BATTERY (SIMPLE ASSAULT),-1039169
2023-00053620,8/15/2023,8/15/2023,1,1,90Z,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (ALL OTHER OFFENSES),-1039168
2023-00053597,8/15/2023,8/14/2023,1,1,290,21-1787,LOITER/INJURE/MOLEST MOTOR VEHICLE - JOY RIDE (DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY),-1039167
2023-00054778,8/19/2023,8/19/2023,1,1,90I,RUNAWA,RUNAWAY,-1039166
2023-00055091,8/20/2023,8/20/2023,1,1,11A,21-1111,RAPE (FORCIBLE RAPE),-1039165
2023-00054892,8/20/2023,8/20/2023,1,1,13A,21-652.C,ASSAULT/BATTERY WITH DEADLY WEAPON,-1039164
2023-00054404,8/18/2023,8/18/2023,1,2,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1039163
2023-00054404,8/18/2023,8/18/2023,1,1,23H,21-1705,GRAND LARCENY (ALL OTHER LARCENY),-1039162
2023-00054797,8/19/2023,8/19/2023,1,1,13A,21-652.C,ASSAULT/BATTERY WITH DEADLY WEAPON,-1039161
2023-00054793,8/19/2023,8/19/2023,1,1,90I,RUNAWA,RUNAWAY,-1039160
2023-00054742,8/19/2023,8/19/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1039159
2023-00054738,8/19/2023,8/17/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1039158
2023-00054732,8/19/2023,8/19/2023,1,1,26C,21-1532,REC MONEY/PROPERTY BY IMPERSONATING ANOTHER,-1039157
2023-00054433,8/18/2023,8/18/2023,1,1,90I,RUNAWA,RUNAWAY,-1039156
2023-00053916,8/16/2023,8/16/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1039155
2023-00055017,8/20/2023,8/20/2023,1,3,90Z,21-421,CONSPIRACY,-1039154
2023-00055017,8/20/2023,8/20/2023,1,2,13B,21-644,ASSAULT AND BATTERY (SIMPLE ASSAULT),-1039153
2023-00055017,8/20/2023,8/20/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1039152
2023-00054443,8/18/2023,8/18/2023,3,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1039151
2023-00054565,8/18/2023,8/18/2023,1,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1039150
2023-00054788,8/19/2023,8/19/2023,1,2,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1039149
2023-00054788,8/19/2023,8/19/2023,1,1,13A,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),-1039148
2023-00054807,8/19/2023,8/19/2023,1,1,90Z,21-1021,INDECENT EXPOSURE (ALL OTHER OFFENSES),-1039147
2023-00054293,8/17/2023,8/17/2023,1,1,90J,24-505,TRESPASSING,-1039146
2023-00054448,8/18/2023,8/17/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1039145
2023-00054453,8/18/2023,8/18/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1039144
2023-00053770,8/15/2023,8/15/2023,1,1,290,24-502,MOLESTING PROP,-1039142
2023-90000398,8/18/2023,8/18/2023,1,1,23E,21-1435.A,BURGLARY - SECOND DEGREE (THEFT FROM COIN OPERATED VENDING MACHINE OR DEVICE),-1039141
2023-90000397,8/18/2023,8/18/2023,1,1,86S,LOSTPROP,LOST PROPERTY,-1039140
2023-90000396,8/17/2023,8/17/2023,1,1,86S,LOSTPROP,LOST PROPERTY,-1039139
2023-00054436,8/18/2023,8/17/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1039138
2023-00053982,8/16/2023,8/16/2023,2,1,23C,24-503,PETTY LARCENY,-1039137
2023-00054307,8/17/2023,8/17/2023,1,4,90Z,24-602,INTER W/OFF PROC,-1039136
2023-00054307,8/17/2023,8/17/2023,1,3,90Z,24-305,UNDER INFLUENCE/NARC,-1039135
2023-00054307,8/17/2023,8/17/2023,1,2,90Z,24-303,HARMFUL DECEPTION,-1039134
2023-00054307,8/17/2023,8/17/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1039133
2023-00054190,8/17/2023,8/16/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1039132
2023-00054339,8/17/2023,8/17/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1039130
2023-00054364,8/18/2023,8/18/2023,1,1,90D,47-11.902.4A,DUI UNDER 21,-1039129
2023-00054369,8/18/2023,8/18/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1039128
2023-00054372,8/18/2023,8/18/2023,1,2,90E,37-8,PUBLIC INTOXICATION,-1039127
2023-00054372,8/18/2023,8/18/2023,1,1,13A,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),-1039126
2023-00054174,8/17/2023,8/17/2023,1,3,90Z,21-540,OBSTRUCTING OFFICER,-1039125
2023-00054174,8/17/2023,8/17/2023,1,2,90Z,47-10.103,LEAVING SCENE OF ACCIDENT INVOLVING DAMAGE,-1039124
2023-00054174,8/17/2023,8/17/2023,1,1,90D,47-11.902.4A,DUI UNDER 21,-1039123
2023-00054141,8/17/2023,8/17/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1039122
2023-00054254,8/17/2023,8/17/2023,1,3,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1039121
2023-00054254,8/17/2023,8/17/2023,1,2,35A,63-2.402.B.1,POSSESSION OF CDS,-1039120
2023-00054254,8/17/2023,8/17/2023,1,1,90E,37-8,PUBLIC INTOXICATION,-1039119
2023-00053944,8/16/2023,8/16/2023,1,1,86M,SUICPROTECT,SUICIDE ATTEMPT / PROTECTIVE CUSTODY,-1039118
2023-00054295,8/17/2023,8/17/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1039117
2023-00054321,8/17/2023,8/17/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1039116
2023-00054320,8/17/2023,8/17/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1039115
2023-00054368,8/18/2023,8/18/2023,3,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1039114
2023-00053919,8/16/2023,8/16/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1039113
2023-00054181,8/17/2023,8/17/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1039112
2023-00054181,8/17/2023,8/17/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1039111
2023-00054266,8/17/2023,8/1/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1039110
2023-00054313,8/17/2023,8/16/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1039109
2023-00054317,8/17/2023,8/15/2023,1,1,26B,21-1550.25,FRAUDULENT USE OF CREDIT CARD NUMBER,-1039108
2023-00054336,8/17/2023,8/17/2023,1,1,90I,RUNAWA,RUNAWAY,-1039107
2023-00054360,8/18/2023,8/17/2023,1,1,83B,MISPER,MISSING PERSON,-1039106
2023-00053988,8/16/2023,5/18/2023,1,1,90Z,16-601,IPMC - HEALTH/SAFETY,-1039105
2023-00054117,8/17/2023,8/17/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1039104
2023-00054165,8/17/2023,8/1/2023,1,1,220,21-1351,FORCIBLE ENTRY ON REAL ESTATE (BURGLARY),-1039103
2023-90000395,8/17/2023,8/17/2023,1,1,86S,LOSTPROP,LOST PROPERTY,-1039102
2023-00054161,8/17/2023,7/17/2023,1,2,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1039101
2023-00054161,8/17/2023,8/16/2023,3,1,250,21-1577,FORGERY -COUNTERFEIT -- NOTES/CHECKS/BILLS/DRAFTS,-1039100
2023-00053708,8/15/2023,8/15/2023,1,1,23C,24-503,PETTY LARCENY,-1039099
2023-00054144,8/17/2023,8/16/2023,1,1,13C,21-1173,STALKING (INTIMIDATION),-1039098
2023-00054177,8/17/2023,8/16/2023,1,1,240,21-1720,LARCENY OF AUTO,-1039097
2023-00054035,8/16/2023,8/16/2023,1,1,90Z,24-305,UNDER INFLUENCE/NARC,-1039096
2023-00053937,8/16/2023,8/16/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1039095
2023-00053180,8/13/2023,8/13/2023,1,1,88C,OWARR,WARRANT-OTHER,-1039094
2023-00053448,8/14/2023,8/14/2023,1,2,90J,24-505,TRESPASSING,-1039093
2023-00053448,8/14/2023,8/14/2023,1,1,23C,24-503,PETTY LARCENY,-1039092
2023-00053880,8/16/2023,1/1/2023,1,1,11A,10-7115,CAUSE/PROCURE/PERMIT INJURY/SEX ABUSE TO CHILD (FORCIBLE RAPE),-1039091
2023-00053231,8/13/2023,8/9/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1039090
2023-00053232,8/13/2023,8/15/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1039089
2023-00053989,8/16/2023,6/7/2023,1,1,90Z,16-302,INOPERABLE VEH,-1039087
2023-00053987,8/16/2023,8/16/2023,1,1,90Z,16-601,IPMC - HEALTH/SAFETY,-1039086
2023-00053897,8/16/2023,8/16/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1039083
2023-00053976,8/16/2023,8/16/2023,1,1,88C,OWARR,WARRANT-OTHER,-1039082
2023-00054025,8/16/2023,8/16/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1039081
2023-00053895,8/16/2023,8/16/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1039080
2023-00054002,8/16/2023,8/16/2023,1,1,88C,OWARR,WARRANT-OTHER,-1039079
2023-00053870,8/16/2023,8/15/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1039078
2023-00054095,8/17/2023,8/17/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1039077
2023-00053915,8/16/2023,8/15/2023,1,2,26A,21-1953,COMPUTER FRAUD/UNLAWFUL USE OF COMPUTER/SYSTEM  (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),-1039076
2023-00053943,8/16/2023,8/16/2023,1,1,220,21-1431,BURGLARY - FIRST DEGREE,-1039074
2023-00053957,8/16/2023,8/11/2023,1,1,23H,21-1705,GRAND LARCENY (ALL OTHER LARCENY),-1039073
2023-00053991,8/16/2023,8/16/2023,1,1,23C,24-503,PETTY LARCENY,-1039072
2023-00054000,8/16/2023,8/15/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1039071
2023-00054036,8/16/2023,8/16/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1039070
2023-00054101,8/17/2023,8/17/2023,1,1,240,21-1720,LARCENY OF AUTO,-1039069
2023-00053786,8/15/2023,8/15/2023,1,1,13B,21-644,ASSAULT AND BATTERY (SIMPLE ASSAULT),-1039068
2023-00054031,8/16/2023,8/16/2023,1,1,83B,MISPER,MISSING PERSON,-1039067
2023-00053728,8/15/2023,8/16/2023,1,3,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1039066
2023-00053728,8/15/2023,8/16/2023,1,2,35A,63-2.402.B.1,POSSESSION OF CDS,-1039065
2023-00052877,8/11/2023,8/11/2023,1,1,250,21-1592,UTTERING FORGED INSTRUMENTS (COUNTERFEITING/FORGERY),-1039064
2023-00054029,8/16/2023,8/16/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1039063
2023-00023545,4/13/2023,4/13/2023,1,2,26A,21-1541.2,OBTAIN PROPERTY BY FALSE PRETENSE >$500 (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),-1039062
2023-00054094,8/17/2023,8/17/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1039059
2023-00053907,8/16/2023,9/9/2021,1,2,90Z,57-583.A.3,FAIL TO PROVIDE NOTICE PRIOR TO MOVING,-1039058
2023-00053907,8/16/2023,9/9/2021,1,1,90Z,57-584.A.5,FAILURE TO VERIFY RESIDENCE ANNUALLY/EVERY 90 DAYS,-1039057
2023-00053563,8/14/2023,8/14/2023,1,3,90J,24-505,TRESPASSING,-1039055
2023-00053563,8/14/2023,8/14/2023,1,2,23C,24-503,PETTY LARCENY,-1039054
2023-00053755,8/15/2023,8/15/2023,1,1,90J,24-505,TRESPASSING,-1039053
2023-00053901,8/16/2023,8/16/2023,1,1,90J,24-505,TRESPASSING,-1039052
2023-00044646,7/7/2023,7/7/2023,1,2,240,21-1720,LARCENY OF AUTO,-1039051
2023-00053388,8/14/2023,8/14/2023,1,1,90G,J24-204,JV POSS/ALC,-1039049
2023-00053906,8/16/2023,8/16/2023,1,1,86D,4-603,NUISANCE ANIMAL,-1039048
2023-00053745,8/15/2023,8/15/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1039047
2023-00047868,7/21/2023,7/21/2023,1,2,240,47-4.102,UNAUTHORIZED USE OF A VEHICLE / UUMV FROM NPD (MOTOR VEHICLE THEFT),-1039046
2023-00053867,8/16/2023,8/2/2023,1,1,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1039045
2023-00047351,7/19/2023,7/13/2023,1,2,250,21-1953,COMPUTER FRAUD/UNLAWFUL USE OF COMPUTER/SYSTEM (COUNTERFEITING/FORGERY),-1039044
2023-00053298,8/13/2023,8/13/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1039042
2023-00046137,7/14/2023,7/14/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1039041
2023-90000393,8/15/2023,8/15/2023,1,1,13C,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),-1039040
2023-00045963,7/13/2023,7/13/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1039039
2023-90000392,8/15/2023,8/15/2023,1,1,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1039038
2023-90000391,8/15/2023,8/15/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1039037
2023-00044784,7/8/2023,7/6/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1039036
2023-00044694,7/8/2023,7/8/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1039035
2023-00053669,8/15/2023,8/15/2023,1,1,35B,24-312,POSS/DRUG PARAPHERNALIA,-1039034
2023-00053545,8/14/2023,8/14/2023,1,1,86S,LOSTPROP,LOST PROPERTY,-1039033
2023-00053712,8/15/2023,8/15/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1039032
2023-00053777,8/15/2023,8/14/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1039031
2023-00053849,8/16/2023,8/16/2023,1,1,100,21-741,KIDNAPPING,-1039030
2023-00053759,8/15/2023,8/15/2023,1,1,90E,24-202,PUBLIC INTOX,-1039029
2023-00053729,8/15/2023,8/11/2023,1,1,23H,21-1550.22,TAKING/RECEIVING TAKEN CREDIT CARD (ALL OTHER LARCENY),-1039028
2023-00053803,8/15/2023,8/15/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1039027
2023-00053817,8/15/2023,7/10/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1039026
2023-00053824,8/15/2023,8/6/2023,2,1,240,21-1720,LARCENY OF AUTO,-1039025
2023-00053728,8/15/2023,8/15/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1039024
2023-00053736,8/15/2023,8/15/2023,1,1,88C,OWARR,WARRANT-OTHER,-1039023
2023-00053675,8/15/2023,8/11/2023,1,1,13A,21-642,BATTERY (AGGRAVATED ASSAULT),-1039022
2023-00053713,8/15/2023,7/12/2023,1,1,11A,21-1111,RAPE (FORCIBLE RAPE),-1039021
2023-00053733,8/15/2023,8/14/2023,1,1,83B,MISPER,MISSING PERSON,-1039020
2023-00053725,8/15/2023,8/15/2023,1,2,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1039019
2023-00053725,8/15/2023,8/15/2023,1,1,88A,CWARR,WARRANT-CLEV COUNTY,-1039018
2023-00053694,8/15/2023,8/15/2023,3,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1039017
2023-00053790,8/15/2023,8/15/2023,4,1,88A,CWARR,WARRANT-CLEV COUNTY,-1039016
2023-00053794,8/15/2023,8/15/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1039015
2023-00053689,8/15/2023,8/15/2023,1,2,88A,CWARR,WARRANT-CLEV COUNTY,-1039014
2023-00053689,8/15/2023,8/15/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1039013
2023-00053724,8/15/2023,8/15/2023,1,4,90Z,47-7.606,FAILURE TO MAINTAIN SECURITY / INSURANCE,-1039012
2023-00053724,8/15/2023,8/15/2023,1,3,90Z,47-10.103,LEAVING SCENE OF ACCIDENT INVOLVING DAMAGE,-1039011
2023-00053724,8/15/2023,8/15/2023,1,2,90Z,21-1319,RESISTING EXECUTION OF LEGAL PROCESS,-1039010
2023-00053724,8/15/2023,8/15/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1039009
2023-00053662,8/15/2023,8/15/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1039008
2023-00053663,8/15/2023,8/15/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1039007
2023-00053696,8/15/2023,8/15/2023,1,1,240,21-1720,LARCENY OF AUTO,-1039006
2023-00053655,8/15/2023,8/15/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1039005
2023-00052961,8/12/2023,8/12/2023,1,2,35A,24-307,POSS/MARIJ,-1039004
2023-00052961,8/12/2023,8/12/2023,1,1,90E,24-202,PUBLIC INTOX,-1039003
2023-00053415,8/14/2023,8/14/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1039002
2023-00052941,8/11/2023,8/11/2023,1,1,290,24-502,MOLESTING PROP,-1039001
2023-00052869,8/11/2023,8/11/2023,1,1,90Z,24-305,UNDER INFLUENCE/NARC,-1039000
2023-00053079,8/12/2023,8/12/2023,1,1,23C,24-503,PETTY LARCENY,-1038999
2023-00052710,8/10/2023,8/10/2023,1,1,86C,ANIMALEXPOSURE,ANIMAL EXPOSURE / BITE,-1038998
2023-00049581,7/28/2023,7/28/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038997
2023-00050347,8/1/2023,8/1/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038996
2023-00053420,8/14/2023,8/14/2023,1,1,90J,24-505,TRESPASSING,-1038995
2023-90000387,8/15/2023,8/15/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1038994
2023-90000388,8/15/2023,8/15/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1038993
2023-90000389,8/14/2023,8/14/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1038992
2023-90000390,8/12/2023,8/12/2023,1,1,13C,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),-1038991
2023-00053265,8/13/2023,8/13/2023,1,2,290,24-502,MOLESTING PROP,-1038990
2023-00053265,8/13/2023,8/13/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1038989
2023-90000386,8/11/2023,8/11/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1038988
2023-00053423,8/14/2023,8/13/2023,1,2,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1038987
2023-00052935,8/11/2023,8/11/2023,1,1,23C,24-503,PETTY LARCENY,-1038986
2023-00052620,8/10/2023,8/10/2023,1,1,90Z,24-602,INTER W/OFF PROC,-1038985
2023-00053519,8/14/2023,8/14/2023,1,1,90E,24-202,PUBLIC INTOX,-1038984
2023-00053514,8/14/2023,8/14/2023,1,1,90E,24-202,PUBLIC INTOX,-1038983
2023-00053089,8/12/2023,8/12/2023,1,1,35B,24-312,POSS/DRUG PARAPHERNALIA,-1038982
2023-00051489,8/5/2023,8/5/2023,1,1,90J,24-505,TRESPASSING,-1038981
2023-00053629,8/15/2023,8/15/2023,1,1,86M,SUICPROTECT,SUICIDE ATTEMPT / PROTECTIVE CUSTODY,-1038980
2023-00053481,8/14/2023,8/14/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038979
2023-00053485,8/14/2023,8/14/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038978
2023-00053445,8/14/2023,8/14/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038977
2023-00050522,8/1/2023,6/1/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1038976
2023-00053283,8/13/2023,8/13/2023,1,1,86S,LOSTPROP,LOST PROPERTY,-1038975
2023-00053453,8/14/2023,7/23/2023,1,2,26B,21-1550.2,UNAUTHORIZED USE OF CREDIT CARD (CREDIT CARD/AUTOMATED TELLER MACHINE FRAUD),-1038974
2023-00053453,8/14/2023,7/23/2023,1,1,23B,21-1701,LARCENY (PURSE-SNATCHING),-1038973
2023-00053536,8/14/2023,8/14/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1038972
2023-00053550,8/14/2023,8/14/2023,1,1,86S,INTEL - INFO,INTEL INFORMATION,-1038971
2023-00053571,8/14/2023,8/14/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1038970
2023-00053563,8/14/2023,8/14/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1038969
2023-00053579,8/14/2023,8/14/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1038968
2023-00053623,8/15/2023,8/15/2023,1,2,90E,37-8,PUBLIC INTOXICATION,-1038967
2023-00053623,8/15/2023,8/15/2023,1,1,35A,63-2.402.B.1,POSSESSION OF CDS,-1038966
2023-00053598,8/15/2023,8/15/2023,3,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1038965
2023-00053628,8/15/2023,8/15/2023,1,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1038964
2023-00053535,8/14/2023,5/27/2023,1,1,11D,21-1123.B,SEXUAL BATTERY,-1038963
2023-00053575,8/14/2023,8/14/2023,1,1,11A,21-1111,RAPE (FORCIBLE RAPE),-1038962
2023-00053548,8/14/2023,8/14/2023,1,1,83B,MISPER,MISSING PERSON,-1038961
2023-00053429,8/14/2023,8/14/2023,1,2,88C,OWARR,WARRANT-OTHER,-1038960
2023-00053429,8/14/2023,8/14/2023,9,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1038959
2023-00053464,8/14/2023,8/14/2023,4,1,88A,CWARR,WARRANT-CLEV COUNTY,-1038958
2023-00030209,5/9/2023,5/9/2023,1,3,90Z,21-843.5.B,ENABLING CHILD ABUSE BY INJURY (ALL OTHER),-1038957
2023-00030209,5/9/2023,5/9/2023,1,2,90Z,10-7102,CHILD ABUSE,-1038956
2023-00019500,3/27/2023,8/13/2023,1,2,86R,RECOVEREDVEH,"RECOVERED - AUTO, AIRCRAFT, OR OTHER MOTOR VEHICLE",-1038955
2023-00053307,8/13/2023,8/13/2023,1,1,87F,32-803,IMP WALKING/ROADWAY,-1038954
