CaseNumber,ReportedDate,OffenseDate,Counts,IBRSeqNumber,IBRCrimeCode,Statute,Description,OffenseID,Bias
2023-00050640,8/2/2023,8/2/2023,1,1,35A,24-307,POSS/MARIJ,-1038567,NA
2023-00050636,8/2/2023,8/2/2023,1,2,90Z,24-602,INTER W/OFF PROC,-1038566,NA
2023-00050636,8/2/2023,8/2/2023,1,1,90J,24-505,TRESPASSING,-1038565,NA
2023-00050845,8/2/2023,8/2/2023,1,1,90Z,24-403,DIST THE PEACE,-1038564,NA
2023-00050621,8/2/2023,8/2/2023,1,1,90Z,24-311B,TOBACCO/FURNISHING,-1038563,NA
2023-00050680,8/2/2023,8/2/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038562,NA
2023-90000374,8/3/2023,8/3/2023,1,1,23E,21-1435.A,BURGLARY - SECOND DEGREE (THEFT FROM COIN OPERATED VENDING MACHINE OR DEVICE),-1038561,NA
2023-00050684,8/2/2023,8/2/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038560,NA
2023-00050668,8/2/2023,8/2/2023,3,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1038559,NA
2023-00050635,8/2/2023,8/2/2023,11,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1038558,NA
2023-00050690,8/2/2023,8/2/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038557,NA
2023-00050834,8/2/2023,8/2/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038556,NA
2023-00050416,8/1/2023,7/27/2023,1,1,26A,21-1501,SECURING CREDIT FRAUDENTLY (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),-1038555,NA
2023-00050799,8/2/2023,8/2/2023,1,6,87F,47-1151,OPERATING VEHICLE WITHOUT PROPER TAG/DECAL,-1038554,NA
2023-00050799,8/2/2023,8/2/2023,1,5,87F,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,-1038553,NA
2023-00050799,8/2/2023,8/2/2023,1,4,90Z,47-7.606,FAILURE TO MAINTAIN SECURITY / INSURANCE,-1038552,NA
2023-00050799,8/2/2023,8/2/2023,1,3,35A,63-2.402.B.1,POSSESSION OF CDS,-1038551,NA
2023-00050799,8/2/2023,8/2/2023,1,2,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1038550,NA
2023-00050799,8/2/2023,8/2/2023,3,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1038549,NA
2023-00050469,8/1/2023,7/30/2023,1,3,290,DAMAGEDPROP,DAMAGED PROPERTY,-1038548,NA
2023-00050469,8/1/2023,7/30/2023,1,2,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1038547,NA
2023-00050469,8/1/2023,7/30/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1038546,NA
2023-00050653,8/2/2023,8/2/2023,1,2,26C,21-1531.4,FALSE PERSONATION (FRAUD),-1038545,NA
2023-00050653,8/2/2023,8/2/2023,1,1,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1038544,NA
2023-00050654,8/2/2023,8/1/2023,1,1,26C,21-1501,SECURING CREDIT FRAUDENTLY (IMPERSONATION),-1038543,NA
2023-00050669,8/2/2023,7/29/2023,1,1,270,21-1451,EMBEZZLEMENT,-1038542,NA
2023-00050710,8/2/2023,8/2/2023,1,1,23H,21-1740.2,PORCH PIRACY ACT OF 2020 (LARCENY ALL OTHER),-1038541,NA
2023-00050718,8/2/2023,8/2/2023,1,5,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1038540,NA
2023-00050718,8/2/2023,8/2/2023,1,4,90G,21-1220,POSSESSION/TRANSPORT OF OPEN BOTTLE OR CONTAINER,-1038539,NA
2023-00050718,8/2/2023,8/2/2023,1,3,87F,47-1151,OPERATING VEHICLE WITHOUT PROPER TAG/DECAL,-1038538,NA
2023-00050718,8/2/2023,8/2/2023,1,2,90Z,47-7.606,FAILURE TO MAINTAIN SECURITY / INSURANCE,-1038537,NA
2023-00050718,8/2/2023,8/2/2023,1,1,87F,47-6.101,NO VALID DRIVER'S LICENSE,-1038536,NA
2023-00050730,8/2/2023,8/2/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1038535,NA
2023-00050746,8/2/2023,8/2/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1038534,NA
2023-00050766,8/2/2023,8/2/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1038533,NA
2023-00050756,8/2/2023,8/2/2023,1,3,90Z,21-1021,INDECENT EXPOSURE (ALL OTHER OFFENSES),-1038532,NA
2023-00050788,8/2/2023,8/2/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1038531,NA
2023-00050846,8/2/2023,8/2/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1038530,NA
2023-00050812,8/2/2023,8/2/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038529,NA
2023-00050814,8/2/2023,8/2/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038528,NA
2023-00050877,8/3/2023,8/3/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1038527,NA
2023-00050756,8/2/2023,8/2/2023,1,2,90E,37-8,PUBLIC INTOXICATION,-1038526,NA
2023-00050756,8/2/2023,8/2/2023,1,1,90Z,21-1021,INDECENT EXPOSURE (ALL OTHER OFFENSES),-1038525,NA
2023-00050878,8/3/2023,8/3/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1038524,NA
2023-00050841,8/2/2023,8/2/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1038523,NA
2023-00050685,8/2/2023,8/2/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1038522,NA
2023-00050752,8/2/2023,8/2/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1038521,NA
2023-00050672,8/2/2023,8/2/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1038520,NA
2023-00050689,8/2/2023,8/2/2023,3,1,88A,CWARR,WARRANT-CLEV COUNTY,-1038519,NA
2023-00050593,8/2/2023,8/2/2023,1,1,90E,24-202,PUBLIC INTOX,-1038518,NA
2023-90000373,8/2/2023,8/2/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1038516,NA
2023-90000372,8/2/2023,8/2/2023,1,1,26A,21-1953,COMPUTER FRAUD/UNLAWFUL USE OF COMPUTER/SYSTEM  (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),-1038515,NA
2023-00050201,7/31/2023,7/31/2023,1,1,90J,24-505,TRESPASSING,-1038514,NA
2023-00048122,7/22/2023,7/22/2023,1,1,86C,4-403,ANIMAL BITE,-1038513,NA
2023-00050514,8/1/2023,7/12/2023,1,1,90Z,16-310,WEEDS VIOLATION,-1038512,NA
2023-00050212,7/31/2023,7/31/2023,1,2,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1038511,NA
2023-00050486,8/1/2023,8/1/2023,1,1,88A,CWARR,WARRANT-CLEV COUNTY,-1038508,NA
2023-90000371,8/2/2023,8/2/2023,1,1,23E,21-1435.A,BURGLARY - SECOND DEGREE (THEFT FROM COIN OPERATED VENDING MACHINE OR DEVICE),-1038507,NA
2023-90000370,8/1/2023,8/1/2023,1,1,86S,LOSTPROP,LOST PROPERTY,-1038506,NA
2023-90000369,8/1/2023,8/1/2023,1,1,26A,21-1953,COMPUTER FRAUD/UNLAWFUL USE OF COMPUTER/SYSTEM  (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),-1038505,NA
2023-00050385,8/1/2023,8/1/2023,1,1,35B,24-312,POSS/DRUG PARAPHERNALIA,-1038504,NA
2023-00050153,7/31/2023,7/31/2023,1,2,90Z,24-602,INTER W/OFF PROC,-1038503,NA
2023-00050153,7/31/2023,7/31/2023,1,1,90J,24-505,TRESPASSING,-1038502,NA
2023-00050567,8/1/2023,8/1/2023,1,1,90Z,24-403,DIST THE PEACE,-1038501,NA
2023-00050457,8/1/2023,8/1/2023,1,1,90J,24-505,TRESPASSING,-1038500,NA
2023-00050287,7/31/2023,7/31/2023,1,2,90Z,21-1173.B,STALKING IN VIOLATION OF COURT ORDER,-1038499,NA
2023-00050268,7/31/2023,7/31/2023,1,7,88A,CWARR,WARRANT-CLEV COUNTY,-1038498,NA
2023-00050269,7/31/2023,8/1/2023,1,2,83D,RUNAWAYLOC,RUNAWAY-LOCATED/RECOVERED (OUTSIDE AGENCY),-1038497,NA
2023-00050202,7/31/2023,7/31/2023,1,3,90J,24-505,TRESPASSING,-1038495,NA
2023-00050202,7/31/2023,7/31/2023,1,2,35B,24-312,POSS/DRUG PARAPHERNALIA,-1038494,NA
2023-00050184,7/31/2023,7/31/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1038493,NA
2023-00050143,7/31/2023,7/27/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1038492,NA
2023-00047592,7/20/2023,7/20/2023,1,3,86D,4-207,REFUSE TO REDEEM ANIMAL,-1038491,NA
2023-00047592,7/20/2023,7/20/2023,1,2,86D,4-503,CONFINEMENT/AT LARGE,-1038490,NA
2023-00047592,7/20/2023,7/20/2023,1,1,86D,4-506,NUMBER DOGS/CATS,-1038489,NA
2023-00049440,7/28/2023,7/28/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1038488,NA
2023-00050441,8/1/2023,7/31/2023,1,3,290,DAMAGEDPROP,DAMAGED PROPERTY,-1038486,NA
2023-00050441,8/1/2023,7/31/2023,1,2,26B,21-1550.2,UNAUTHORIZED USE OF CREDIT CARD (CREDIT CARD/AUTOMATED TELLER MACHINE FRAUD),-1038485,NA
2023-00050441,8/1/2023,7/31/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1038484,NA
2023-00050462,8/1/2023,7/31/2023,1,1,23G,21-1706,PETIT LARCENY (THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES),-1038483,NA
2023-00050578,8/2/2023,8/2/2023,2,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1038482,NA
2023-00050489,8/1/2023,8/1/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1038481,NA
2023-00050507,8/1/2023,7/24/2023,1,1,250,21-1577,FORGERY -COUNTERFEIT -- NOTES/CHECKS/BILLS/DRAFTS,-1038480,NA
2023-00050513,8/1/2023,8/1/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1038479,NA
2023-00050516,8/1/2023,7/22/2023,1,1,23H,21-1740.2,PORCH PIRACY ACT OF 2020 (LARCENY ALL OTHER),-1038478,NA
2023-00050520,8/1/2023,7/31/2023,1,1,26A,21-1501,SECURING CREDIT FRAUDENTLY (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),-1038477,NA
2023-00050527,8/1/2023,8/1/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1038476,NA
2023-00050549,8/1/2023,8/1/2023,1,1,23C,21-1706,PETIT LARCENY (SHOPLIFTING),-1038475,NA
2023-00050596,8/2/2023,8/2/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038474,NA
2023-00050548,8/1/2023,8/1/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038473,NA
2023-00050584,8/2/2023,8/2/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038472,NA
2023-00050565,8/1/2023,8/2/2023,1,3,90E,37-8,PUBLIC INTOXICATION,-1038471,NA
2023-00050565,8/1/2023,8/1/2023,1,2,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1038470,NA
2023-00050565,8/1/2023,8/1/2023,1,1,280,21-1713,RECEIVE/POSSESS/CONCEAL STOLEN PROPERTY / KCSP (STOLEN PROPERTY OFFENSE),-1038469,NA
2023-00050545,8/1/2023,8/1/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038468,NA
2023-00050242,7/31/2023,6/12/2022,1,1,11A,21-1111,RAPE (FORCIBLE RAPE),-1038467,NA
2023-00050504,8/1/2023,7/31/2023,1,1,13C,21-1378.B,ACT OF VIOLENCE - THREATEN SERIOUS BODILY HARM OR DEATH,-1038466,NA
2023-00050515,8/1/2023,8/1/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1038465,NA
2023-00050566,8/1/2023,8/1/2023,1,1,90I,RUNAWA,RUNAWAY,-1038464,NA
2023-00050579,8/2/2023,8/2/2023,1,2,87F,47-1151,OPERATING VEHICLE WITHOUT PROPER TAG/DECAL,-1038463,NA
2023-00050579,8/2/2023,8/2/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1038462,NA
2023-00050461,8/1/2023,8/1/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1038461,NA
2023-00050421,8/1/2023,8/1/2023,1,1,13A,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),-1038460,NA
2023-00050160,7/31/2023,7/31/2023,1,2,13B,24-401,ASSAULT & BATTERY,-1038459,NA
2023-00050160,7/31/2023,7/31/2023,1,1,23C,24-503,PETTY LARCENY,-1038458,NA
2023-00050145,7/31/2023,7/31/2023,1,1,35B,24-312,POSS/DRUG PARAPHERNALIA,-1038457,NA
2023-00049990,7/30/2023,7/30/2023,1,2,90Z,24-602,INTER W/OFF PROC,-1038456,NA
2023-00049990,7/30/2023,7/30/2023,1,1,86D,4-601,ANIMAL CRUELTY,-1038455,NA
2023-00050432,8/1/2023,7/31/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1038454,NA
2023-00050370,8/1/2023,7/31/2023,1,1,23H,21-1705,GRAND LARCENY (ALL OTHER LARCENY),-1038453,NA
2023-00050123,7/31/2023,7/31/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1038452,NA
2023-00050419,8/1/2023,7/31/2023,1,1,240,21-1720,LARCENY OF AUTO,-1038451,NA
2023-00050290,7/31/2023,7/31/2023,1,3,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1038450,NA
2023-00050396,8/1/2023,7/27/2023,1,1,90Z,16-310,WEEDS VIOLATION,-1038449,NA
2023-00049770,7/29/2023,7/31/2023,1,2,86R,RECOVEREDVEH,"RECOVERED - AUTO, AIRCRAFT, OR OTHER MOTOR VEHICLE",-1038448,NA
2023-00050006,7/30/2023,7/30/2023,1,1,23C,24-503,PETTY LARCENY,-1038447,NA
2023-90000368,7/31/2023,7/31/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1038446,NA
2023-00050202,7/31/2023,7/31/2023,11,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1038445,NA
2023-00050320,7/31/2023,7/31/2023,3,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1038444,NA
2023-00050162,7/31/2023,7/31/2023,1,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1038443,NA
2023-00050251,7/31/2023,7/31/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038442,NA
2023-00049758,7/29/2023,7/29/2023,1,1,86S,LOSTPROP,LOST PROPERTY,-1038441,NA
2023-00050206,7/31/2023,7/30/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1038440,NA
2023-00050211,7/31/2023,1/17/2023,1,1,26A,21-1533.2,"OBTAIN / ATTEMPT TO OBTAIN, ANOTHER PERSON’S PERSONAL, FINANCIAL INFO FROM A FINANCIAL INSTITUTION",-1038439,NA
2023-00050219,7/31/2023,3/18/2023,1,1,26A,21-843.1,ABUSE/ NEGLECT/FINANCIAL EXPLOITATION BY CARETAKER (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),-1038438,NA
2023-00050223,7/31/2023,7/31/2023,1,1,290,24-502,MOLESTING PROP,-1038437,NA
2023-00050290,7/31/2023,7/31/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1038436,NA
2023-00050287,7/31/2023,7/31/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1038434,NA
2023-00050150,7/31/2023,7/31/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1038433,NA
2023-00049589,7/28/2023,7/28/2023,1,1,90Z,21-1761.1,DUMPING TRASH ON PUBLIC/PRIVATE PROPERTY,-1038432,NA
2023-00050203,7/31/2023,7/31/2023,1,2,13C,21-1173,STALKING (INTIMIDATION),-1038431,NA
2023-00050203,7/31/2023,7/31/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1038430,NA
2023-00050269,7/31/2023,7/31/2023,3,1,90I,RUNAWA,RUNAWAY,-1038429,NA
2023-00050343,7/31/2023,7/31/2023,1,2,13A,21-645,ASSAULT &/OR BATTERY W/DANGEROUS WEAPON,-1038428,NA
2023-00050343,7/31/2023,7/31/2023,1,1,13B,21-644.G,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),-1038427,NA
2023-00050259,7/31/2023,6/2/2023,1,1,13A,21-843.3,ABUSE/EXPLOITATION/NEGLECT OF VULNERABLE ADULT (AGGRAVATED ASSAULT),-1038426,NA
2023-00050321,7/31/2023,7/31/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1038425,NA
2023-00050342,7/31/2023,7/31/2023,1,1,90D,47-11.902.D,AGGRAVATED DUI /APC (=>.15 BAC),-1038424,NA
2023-00050363,8/1/2023,8/1/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1038423,NA
2023-00050360,8/1/2023,8/1/2023,1,3,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1038422,NA
2023-00050360,8/1/2023,8/1/2023,2,2,35A,63-2.309,DISPENSING CDS WITHOUT PRESCRIPTION,-1038421,NA
2023-00050360,8/1/2023,8/1/2023,1,1,35A,63-2.402.B.1,POSSESSION OF CDS,-1038420,NA
2023-00050355,8/1/2023,8/1/2023,1,1,90J,21-1835,TRESPASSING AFTER BEING FORBIDDEN,-1038419,NA
2023-00050268,7/31/2023,7/31/2023,1,6,35A,63-2.402.B.1,POSSESSION OF CDS,-1038418,NA
2023-00050268,7/31/2023,7/31/2023,1,5,90Z,57-21,CARRYING WEAPON/DRUGS/ALCOHOL INTO JAIL,-1038417,NA
2023-00050268,7/31/2023,7/31/2023,1,4,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1038416,NA
2023-00050268,7/31/2023,7/31/2023,1,3,90Z,21-421,CONSPIRACY,-1038415,NA
2023-00050268,7/31/2023,7/31/2023,1,2,90Z,21-540,OBSTRUCTING OFFICER,-1038414,NA
2023-00050268,7/31/2023,7/31/2023,1,1,23C,21-1731,LARCENY OF MERCHANDISE FROM RETAILER (SHOPLIFTING),-1038413,NA
2023-00050255,7/31/2023,7/31/2023,2,3,88C,OWARR,WARRANT-OTHER,-1038412,NA
2023-00050255,7/31/2023,7/31/2023,1,2,87F,47-1151,OPERATING VEHICLE WITHOUT PROPER TAG/DECAL,-1038411,NA
2023-00050255,7/31/2023,7/31/2023,2,1,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1038410,NA
2023-00050276,7/31/2023,7/31/2023,1,3,88A,CWARR,WARRANT-CLEV COUNTY,-1038409,NA
2023-00050276,7/31/2023,7/31/2023,1,2,90Z,21-540,OBSTRUCTING OFFICER,-1038408,NA
2023-00050276,7/31/2023,7/31/2023,2,1,13B,21-649,ASSAULT AND BATTERY ON A POLICE OFFICER (SIMPLE ASSAULT),-1038407,NA
2023-00050001,7/30/2023,7/30/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1038406,NA
2023-00049981,7/30/2023,7/30/2023,1,1,90J,24-505,TRESPASSING,-1038405,NA
2023-00049841,7/29/2023,7/29/2023,1,1,90Z,24-403,DIST THE PEACE,-1038404,NA
2023-00045816,7/12/2023,7/31/2023,1,2,90Z,47-10.103,LEAVING SCENE OF ACCIDENT INVOLVING DAMAGE,-1038403,NA
2023-00049806,7/29/2023,7/29/2023,1,1,90J,24-505,TRESPASSING,-1038402,NA
2023-00049870,7/30/2023,7/30/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1038401,NA
2023-00049546,7/28/2023,7/28/2023,1,1,90J,24-505,TRESPASSING,-1038400,NA
2023-00050024,7/30/2023,7/30/2023,1,1,90J,24-505,TRESPASSING,-1038399,NA
2023-00050174,7/31/2023,7/31/2023,1,3,290,DAMAGEDPROP,DAMAGED PROPERTY,-1038398,NA
2023-00050174,7/31/2023,7/31/2023,1,2,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1038397,NA
2023-00050174,7/31/2023,7/31/2023,1,1,26E,21-1550.2,UNAUTHORIZED USE OF CREDIT CARD (WIRE FRAUD),-1038396,NA
2023-00050129,7/31/2023,7/29/2023,1,1,90I,RUNAWA,RUNAWAY,-1038395,NA
2023-00050076,7/30/2023,7/30/2023,1,1,90E,24-202,PUBLIC INTOX,-1038394,NA
2023-00050045,7/30/2023,7/30/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1038393,NA
2023-00050120,7/31/2023,7/31/2023,1,1,90Z,24-305,UNDER INFLUENCE/NARC,-1038392,NA
2023-00049825,7/29/2023,7/29/2023,1,1,90J,24-505,TRESPASSING,-1038391,NA
2023-90000366,7/31/2023,7/31/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1038390,NA
2023-90000367,7/29/2023,7/29/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1038389,NA
2023-90000365,7/31/2023,7/31/2023,1,1,86S,LOSTPROP,LOST PROPERTY,-1038388,NA
2023-00049780,7/29/2023,7/29/2023,1,1,90E,24-202,PUBLIC INTOX,-1038387,NA
2023-00049826,7/29/2023,7/29/2023,1,2,90Z,24-602,INTER W/OFF PROC,-1038386,NA
2023-00049826,7/29/2023,7/29/2023,1,1,90E,24-202,PUBLIC INTOX,-1038385,NA
2023-00050047,7/30/2023,7/30/2023,1,1,90E,24-202,PUBLIC INTOX,-1038384,NA
2023-00050053,7/30/2023,7/30/2023,1,2,35B,24-312,POSS/DRUG PARAPHERNALIA,-1038383,NA
2023-00050053,7/30/2023,7/30/2023,1,1,35A,24-307,POSS/MARIJ,-1038382,NA
2023-00050087,7/31/2023,7/31/2023,1,1,90B,24-301,CURFEW VIOL,-1038381,NA
2023-00049994,7/30/2023,7/30/2023,1,1,90J,24-505,TRESPASSING,-1038380,NA
2023-00049799,7/29/2023,7/29/2023,1,1,23C,24-503,PETTY LARCENY,-1038379,NA
2023-00049154,7/26/2023,7/26/2023,1,2,23C,24-503,PETTY LARCENY,-1038378,NA
2023-00049955,7/30/2023,7/30/2023,1,1,90J,24-505,TRESPASSING,-1038377,NA
2023-00049779,7/29/2023,7/29/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038376,NA
2023-00049800,7/29/2023,7/29/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038375,NA
2023-00050110,7/31/2023,7/31/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038374,NA
2023-00049852,7/30/2023,7/30/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1038373,NA
2023-00034525,5/27/2023,7/31/2023,1,2,86R,RECOVEREDPROP,RECOVERED PROPERTY,-1038372,NA
2023-00048138,7/22/2023,7/22/2023,1,1,240,21-1720,LARCENY OF AUTO,-1038371,NA
2023-00049675,7/29/2023,7/29/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1038370,NA
2023-00049686,7/29/2023,7/29/2023,1,1,240,21-1787,LOITER/INJURE/MOLEST MOTOR VEHICLE - JOY RIDE (MOTOR VEHICLE THEFT),-1038369,NA
2023-00049703,7/29/2023,7/28/2023,1,1,240,21-1720,LARCENY OF AUTO,-1038368,NA
2023-00049706,7/29/2023,7/28/2023,2,1,240,21-1720,LARCENY OF AUTO,-1038367,NA
2023-00049746,7/29/2023,7/1/2023,1,1,23D,21-1705,GRAND LARCENY (THEFT FROM BUILDING),-1038366,NA
2023-00049770,7/29/2023,7/26/2023,1,1,240,21-1720,LARCENY OF AUTO,-1038365,NA
2023-00049801,7/29/2023,7/29/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1038364,NA
2023-00049818,7/29/2023,7/29/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1038363,NA
2023-00049915,7/30/2023,6/16/2023,1,1,250,21-1577,FORGERY -COUNTERFEIT -- NOTES/CHECKS/BILLS/DRAFTS,-1038362,NA
2023-00049924,7/30/2023,7/28/2023,3,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1038361,NA
2023-00050065,7/30/2023,7/30/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1038360,NA
2023-00050065,7/30/2023,7/30/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1038359,NA
2023-00049995,7/30/2023,7/30/2023,1,1,86R,RECOVEREDVEH,"RECOVERED - AUTO, AIRCRAFT, OR OTHER MOTOR VEHICLE",-1038358,NA
2023-00050067,7/30/2023,7/30/2023,1,1,220,21-1431,BURGLARY - FIRST DEGREE,-1038357,NA
2023-00048178,7/22/2023,7/22/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1038356,NA
2023-00048662,7/24/2023,6/30/2023,1,1,13C,21-641,ASSAULT / THREATS (INTIMIDATION),-1038355,NA
2023-00049650,7/29/2023,7/29/2023,1,1,13C,21-641,ASSAULT / THREATS (INTIMIDATION),-1038354,NA
2023-00049705,7/29/2023,3/13/2023,1,1,11D,21-1123.B,SEXUAL BATTERY,-1038353,NA
2023-00049744,7/29/2023,7/28/2023,1,1,90I,RUNAWA,RUNAWAY,-1038352,NA
2023-00049756,7/29/2023,7/29/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1038351,NA
