AccidentNumber,AccidentDatetime,UnitNumber,UnitSubjectNumber,Description,Sev_Num
2017-00006982,1/30/2017 20:07,1,1,Possible,4
2017-00006528,1/28/2017 22:03,1,1,No Injury,3
2017-00006528,1/28/2017 22:03,1,2,No Injury,3
2017-00006528,1/28/2017 22:03,2,1,No Injury,3
2017-00006528,1/28/2017 22:03,2,2,No Injury,3
2017-00007164,1/31/2017 16:42,1,1,No Injury,3
2017-00007164,1/31/2017 16:42,1,2,No Injury,3
2017-00007164,1/31/2017 16:42,2,1,No Injury,3
2017-00007152,1/31/2017 15:43,1,1,No Injury,3
2017-00007152,1/31/2017 15:43,2,1,No Injury,3
2017-00006352,1/28/2017 9:47,1,1,No Injury,3
2017-00006352,1/28/2017 9:47,2,1,No Injury,3
2017-00006352,1/28/2017 9:47,2,2,No Injury,3
2017-00006352,1/28/2017 9:47,2,3,No Injury,3
2017-00006352,1/28/2017 9:47,2,4,No Injury,3
2017-00006352,1/28/2017 9:47,2,5,No Injury,3
2017-00006451,1/28/2017 16:28,2,1,No Injury,3
2017-00006451,1/28/2017 16:28,2,2,No Injury,3
2017-00006451,1/28/2017 16:28,2,3,No Injury,3
2017-00006451,1/28/2017 16:28,1,1,Possible,4
2017-00005574,1/25/2017 12:14,1,1,No Injury,3
2017-00005574,1/25/2017 12:14,2,1,No Injury,3
2017-00006699,1/29/2017 15:44,1,1,No Injury,3
2017-00006699,1/29/2017 15:44,2,1,No Injury,3
2017-00006699,1/29/2017 15:44,2,2,Possible,4
2017-00002498,1/12/2017 17:52,1,1,No Injury,3
2017-00002498,1/12/2017 17:52,3,1,Possible,4
2017-00002498,1/12/2017 17:52,3,2,Possible,4
2017-00002498,1/12/2017 17:52,3,3,Possible,4
2017-00002498,1/12/2017 17:52,2,1,Non-Incapacitating,5
2017-00002498,1/12/2017 17:52,2,2,Non-Incapacitating,5
2017-00002498,1/12/2017 17:52,3,4,Non-Incapacitating,5
2017-00002498,1/12/2017 17:52,2,3,Incapacitating,6
2017-00009436,1/25/2017 14:00,2,1,Unknown,2
2017-00009436,1/25/2017 14:00,1,1,No Injury,3
2017-00002016,1/10/2017 18:30,1,1,No Injury,3
2017-00002016,1/10/2017 18:30,1,2,No Injury,3
2017-00002016,1/10/2017 18:30,1,3,No Injury,3
2017-00002016,1/10/2017 18:30,2,1,No Injury,3
2017-00010491,1/23/2017 14:46,2,1,Not Applicable,1
2017-00010491,1/23/2017 14:46,1,1,No Injury,3
2018-00000637,1/3/2017 18:56,1,1,No Injury,3
2018-00000637,1/3/2017 18:56,2,1,No Injury,3
2018-00000637,1/3/2017 18:56,2,2,No Injury,3
2018-00000637,1/3/2017 18:56,2,3,No Injury,3
2018-00000637,1/3/2017 18:56,3,1,No Injury,3
2018-00001146,1/6/2017 18:28,1,1,No Injury,3
2018-00001146,1/6/2017 18:28,2,1,No Injury,3
2018-00001454,1/6/2017 20:58,2,1,No Injury,3
2018-00001454,1/6/2017 20:58,2,2,Possible,4
2018-00001454,1/6/2017 20:58,1,1,Non-Incapacitating,5
2018-00000036,1/1/2018 2:57,2,1,Not Applicable,1
2018-00000036,1/1/2018 2:57,3,1,Not Applicable,1
2018-00000036,1/1/2018 2:57,1,1,No Injury,3
2018-00000429,1/2/2018 21:32,1,1,Possible,4
2018-00000429,1/2/2018 21:32,2,1,Non-Incapacitating,5
2018-00000429,1/2/2018 21:32,2,2,Non-Incapacitating,5
2018-00000301,1/2/2018 12:46,1,1,No Injury,3
2018-00000301,1/2/2018 12:46,1,2,No Injury,3
2018-00000301,1/2/2018 12:46,1,3,No Injury,3
2018-00000301,1/2/2018 12:46,2,1,Non-Incapacitating,5
2018-00000303,1/2/2018 12:52,1,1,No Injury,3
2018-00000303,1/2/2018 12:52,1,2,No Injury,3
2018-00000303,1/2/2018 12:52,2,1,No Injury,3
2018-00000555,1/3/2018 13:39,1,1,No Injury,3
2018-00000555,1/3/2018 13:39,2,1,No Injury,3
2018-00000555,1/3/2018 13:39,2,2,Possible,4
2018-00000360,1/2/2018 16:04,1,1,No Injury,3
2018-00000360,1/2/2018 16:04,2,1,No Injury,3
2018-00000360,1/2/2018 16:04,2,2,No Injury,3
2018-00000360,1/2/2018 16:04,3,1,No Injury,3
2018-00000808,1/4/2018 14:22,1,1,No Injury,3
2018-00000808,1/4/2018 14:22,2,1,No Injury,3
2018-00000574,1/3/2018 14:46,1,1,No Injury,3
2018-00000574,1/3/2018 14:46,2,1,No Injury,3
2018-00000578,1/3/2018 14:44,1,1,No Injury,3
2018-00000578,1/3/2018 14:44,1,2,No Injury,3
2018-00000578,1/3/2018 14:44,1,3,No Injury,3
2018-00000578,1/3/2018 14:44,2,1,No Injury,3
2018-00000749,1/4/2018 10:09,1,1,No Injury,3
2018-00000749,1/4/2018 10:09,2,1,No Injury,3
2018-00000595,1/3/2018 16:45,1,1,Non-Incapacitating,5
2018-00000595,1/3/2018 16:45,2,1,Non-Incapacitating,5
2018-00000599,1/3/2018 16:28,1,1,No Injury,3
2018-00000599,1/3/2018 16:28,2,1,No Injury,3
2018-00000612,1/3/2018 17:29,1,1,No Injury,3
2018-00000612,1/3/2018 17:29,1,2,No Injury,3
2018-00000612,1/3/2018 17:29,2,1,No Injury,3
2018-00000612,1/3/2018 17:29,2,2,No Injury,3
2018-00000080,1/1/2018 9:34,1,1,Possible,4
2018-00000961,1/5/2018 6:55,1,1,No Injury,3
2018-00000961,1/5/2018 6:55,2,1,No Injury,3
2018-00001453,1/6/2018 20:56,3,1,No Injury,3
2018-00001453,1/6/2018 20:56,2,1,Possible,4
2018-00001453,1/6/2018 20:56,1,1,Non-Incapacitating,5
2018-00000095,1/1/2018 11:40,1,1,No Injury,3
2018-00000095,1/1/2018 11:40,2,2,No Injury,3
2018-00000095,1/1/2018 11:40,2,3,No Injury,3
2018-00000095,1/1/2018 11:40,1,2,Possible,4
2018-00000095,1/1/2018 11:40,2,1,Non-Incapacitating,5
2018-00000305,1/2/2018 13:02,1,1,No Injury,3
2018-00000305,1/2/2018 13:02,2,1,No Injury,3
2018-00000305,1/2/2018 13:02,3,1,No Injury,3
2018-00000305,1/2/2018 13:02,3,2,No Injury,3
2018-00000371,1/2/2018 17:03,1,1,No Injury,3
2018-00000371,1/2/2018 17:03,2,1,No Injury,3
2018-00000371,1/2/2018 17:03,2,2,No Injury,3
2018-00000403,1/2/2018 19:12,1,1,No Injury,3
2018-00000403,1/2/2018 19:12,2,1,No Injury,3
2018-00000509,1/3/2018 9:22,2,1,Not Applicable,1
2018-00000509,1/3/2018 9:22,1,1,No Injury,3
2018-00000630,1/3/2018 18:56,1,2,No Injury,3
2018-00000630,1/3/2018 18:56,2,1,No Injury,3
2018-00000630,1/3/2018 18:56,2,2,No Injury,3
2018-00000630,1/3/2018 18:56,2,3,No Injury,3
2018-00000630,1/3/2018 18:56,1,1,Non-Incapacitating,5
2018-00000776,1/4/2018 12:35,1,1,No Injury,3
2018-00000776,1/4/2018 12:35,1,2,No Injury,3
2018-00000776,1/4/2018 12:35,1,3,Non-Incapacitating,5
2018-00000972,1/5/2018 8:15,1,1,Possible,4
2018-00001039,1/5/2018 13:41,1,1,Non-Incapacitating,5
2018-00001104,1/5/2018 16:02,1,1,No Injury,3
2018-00001104,1/5/2018 16:02,1,2,No Injury,3
2018-00001104,1/5/2018 16:02,2,1,Possible,4
2018-00001190,1/5/2018 22:15,1,1,No Injury,3
2018-00001190,1/5/2018 22:15,2,1,No Injury,3
2018-00000742,1/4/2018 9:41,1,1,No Injury,3
2018-00000742,1/4/2018 9:41,1,2,No Injury,3
2018-00000742,1/4/2018 9:41,2,1,No Injury,3
2018-00001294,1/6/2018 11:25,1,1,No Injury,3
2018-00001294,1/6/2018 11:25,2,1,No Injury,3
2018-00001177,1/5/2018 21:13,1,1,Unknown,2
2018-00001177,1/5/2018 21:13,2,1,No Injury,3
2018-00001177,1/5/2018 21:13,3,1,No Injury,3
2018-00001390,1/6/2018 16:42,2,1,No Injury,3
2018-00001390,1/6/2018 16:42,2,4,No Injury,3
2018-00001390,1/6/2018 16:42,1,1,Non-Incapacitating,5
2018-00001390,1/6/2018 16:42,2,3,Non-Incapacitating,5
2018-00001390,1/6/2018 16:42,2,2,Incapacitating,6
2018-00001407,1/6/2018 17:30,1,1,No Injury,3
2018-00001407,1/6/2018 17:30,2,2,No Injury,3
2018-00001407,1/6/2018 17:30,2,1,Possible,4
2018-00001591,1/7/2018 13:46,1,1,Unknown,2
2018-00001591,1/7/2018 13:46,2,1,No Injury,3
2018-00001591,1/7/2018 13:46,2,2,No Injury,3
2018-00001598,1/7/2018 14:34,2,1,No Injury,3
2018-00001598,1/7/2018 14:34,2,2,No Injury,3
2018-00001598,1/7/2018 14:34,2,3,No Injury,3
2018-00001598,1/7/2018 14:34,2,4,No Injury,3
2018-00001598,1/7/2018 14:34,1,1,Possible,4
2018-00001650,1/7/2018 18:34,1,1,No Injury,3
2018-00001650,1/7/2018 18:34,2,1,No Injury,3
2018-00001812,1/8/2018 12:34,1,1,No Injury,3
2018-00001812,1/8/2018 12:34,2,1,No Injury,3
2018-00001812,1/8/2018 12:34,2,2,No Injury,3
2018-00001814,1/8/2018 12:42,1,1,No Injury,3
2018-00001814,1/8/2018 12:42,2,1,No Injury,3
2018-00001874,1/8/2018 16:11,1,2,No Injury,3
2018-00001874,1/8/2018 16:11,2,1,No Injury,3
2018-00001874,1/8/2018 16:11,1,1,Non-Incapacitating,5
2018-00001902,1/8/2018 18:16,1,1,No Injury,3
2018-00000522,1/3/2018 11:06,1,1,No Injury,3
2018-00000522,1/3/2018 11:06,1,2,No Injury,3
2018-00000522,1/3/2018 11:06,2,1,No Injury,3
2018-00002109,1/9/2018 16:04,1,1,No Injury,3
2018-00002109,1/9/2018 16:04,1,2,No Injury,3
2018-00002393,1/10/2018 21:06,1,1,No Injury,3
2018-00002472,1/11/2018 7:02,2,1,No Injury,3
2018-00002472,1/11/2018 7:02,1,1,Possible,4
2018-00001854,1/8/2018 15:07,1,1,No Injury,3
2018-00001854,1/8/2018 15:07,2,1,Non-Incapacitating,5
2018-00002098,1/9/2018 15:21,1,1,No Injury,3
2018-00002098,1/9/2018 15:21,2,1,No Injury,3
2018-00001588,1/7/2018 13:23,1,1,No Injury,3
2018-00001588,1/7/2018 13:23,2,1,No Injury,3
2018-00002080,1/9/2018 14:29,1,1,No Injury,3
2018-00002080,1/9/2018 14:29,2,1,No Injury,3
2018-00002286,1/10/2018 11:59,1,1,No Injury,3
2018-00002286,1/10/2018 11:59,2,1,No Injury,3
2018-00002626,1/11/2018 18:14,1,1,No Injury,3
2018-00002626,1/11/2018 18:14,2,1,No Injury,3
2018-00002766,1/12/2018 8:29,1,1,No Injury,3
2018-00002766,1/12/2018 8:29,1,2,No Injury,3
2018-00002766,1/12/2018 8:29,2,1,No Injury,3
2018-00002874,1/12/2018 17:49,1,1,No Injury,3
2018-00002874,1/12/2018 17:49,2,1,No Injury,3
2018-00002874,1/12/2018 17:49,2,2,No Injury,3
2018-00001764,1/8/2018 8:51,1,1,No Injury,3
2018-00001764,1/8/2018 8:51,2,1,No Injury,3
2018-00001764,1/8/2018 8:51,3,1,Non-Incapacitating,5
2018-00002858,1/12/2018 16:23,1,1,No Injury,3
2018-00002858,1/12/2018 16:23,2,1,No Injury,3
2018-00002821,1/12/2018 14:25,1,1,Not Applicable,1
2018-00002821,1/12/2018 14:25,2,1,No Injury,3
2018-00003118,1/13/2018 16:21,1,1,Possible,4
2018-00003118,1/13/2018 16:21,2,1,Possible,4
2018-00003185,1/13/2018 22:22,1,1,No Injury,3
2018-00003185,1/13/2018 22:22,2,1,No Injury,3
2018-00003602,1/15/2018 17:05,1,1,No Injury,3
2018-00003602,1/15/2018 17:05,2,1,No Injury,3
2018-00003602,1/15/2018 17:05,3,1,No Injury,3
2018-00003369,1/14/2018 15:58,1,1,No Injury,3
2018-00003369,1/14/2018 15:58,2,1,No Injury,3
2018-00000551,1/3/2018 13:22,1,1,No Injury,3
2018-00000551,1/3/2018 13:22,2,1,No Injury,3
2018-00002153,1/9/2018 20:45,1,1,Unknown,2
2018-00002153,1/9/2018 20:45,2,1,No Injury,3
2018-00003766,1/16/2018 10:57,3,1,No Injury,3
2018-00003766,1/16/2018 10:57,4,1,No Injury,3
2018-00003766,1/16/2018 10:57,1,1,Possible,4
2018-00003766,1/16/2018 10:57,2,1,Possible,4
2018-00003766,1/16/2018 10:57,2,2,Possible,4
2018-00003785,1/16/2018 11:50,1,1,No Injury,3
2018-00003785,1/16/2018 11:50,2,1,No Injury,3
2018-00003785,1/16/2018 11:50,2,2,Possible,4
2018-00003804,1/16/2018 14:04,1,1,No Injury,3
2018-00003804,1/16/2018 14:04,2,1,Possible,4
2018-00003867,1/16/2018 19:05,1,1,No Injury,3
2018-00003867,1/16/2018 19:05,2,1,Possible,4
2018-00003833,1/16/2018 15:46,1,1,No Injury,3
2018-00003833,1/16/2018 15:46,2,1,Possible,4
2018-00004040,1/17/2018 12:53,1,1,No Injury,3
2018-00004040,1/17/2018 12:53,2,1,No Injury,3
2018-00004070,1/17/2018 14:44,1,1,No Injury,3
2018-00004070,1/17/2018 14:44,2,1,No Injury,3
2018-00004391,1/18/2018 18:30,1,1,No Injury,3
2018-00004391,1/18/2018 18:30,2,1,No Injury,3
2018-00001742,1/8/2018 7:30,2,2,Not Applicable,1
2018-00001742,1/8/2018 7:30,1,1,No Injury,3
2018-00001742,1/8/2018 7:30,2,1,No Injury,3
2018-00001742,1/8/2018 7:30,3,1,No Injury,3
2018-00004262,1/18/2018 8:46,1,1,No Injury,3
2018-00004262,1/18/2018 8:46,2,1,No Injury,3
2018-00000634,1/3/2018 19:18,1,1,No Injury,3
2018-00000634,1/3/2018 19:18,1,2,No Injury,3
2018-00000634,1/3/2018 19:18,2,1,No Injury,3
2018-00000634,1/3/2018 19:18,2,2,No Injury,3
2018-00000634,1/3/2018 19:18,2,3,No Injury,3
2018-00000634,1/3/2018 19:18,2,4,No Injury,3
2018-00001801,1/8/2018 11:56,1,1,No Injury,3
2018-00001801,1/8/2018 11:56,2,1,No Injury,3
2018-00004270,1/18/2018 9:20,1,1,No Injury,3
2018-00004270,1/18/2018 9:20,2,1,Non-Incapacitating,5
2018-00004270,1/18/2018 9:20,2,2,Non-Incapacitating,5
2018-00004278,1/18/2018 10:20,1,1,No Injury,3
2018-00004278,1/18/2018 10:20,2,1,No Injury,3
2018-00004278,1/18/2018 10:20,2,2,No Injury,3
2018-00003560,1/15/2018 13:19,1,1,No Injury,3
2018-00003560,1/15/2018 13:19,2,2,No Injury,3
2018-00003560,1/15/2018 13:19,2,1,Possible,4
2018-00004121,1/17/2018 18:19,1,1,No Injury,3
2018-00004121,1/17/2018 18:19,2,1,No Injury,3
2018-00004233,1/18/2018 6:18,2,1,No Injury,3
2018-00004233,1/18/2018 6:18,3,1,No Injury,3
2018-00004233,1/18/2018 6:18,1,1,Non-Incapacitating,5
2018-00004384,1/18/2018 18:07,1,1,No Injury,3
2018-00004384,1/18/2018 18:07,1,2,No Injury,3
2018-00004384,1/18/2018 18:07,2,1,No Injury,3
2018-00004399,1/18/2018 18:59,1,1,No Injury,3
2018-00004399,1/18/2018 18:59,2,1,No Injury,3
2018-00004642,1/19/2018 15:51,1,1,No Injury,3
2018-00004642,1/19/2018 15:51,2,1,No Injury,3
2018-00004662,1/19/2018 17:15,1,1,No Injury,3
2018-00004662,1/19/2018 17:15,2,1,No Injury,3
2018-00004662,1/19/2018 17:15,3,1,No Injury,3
2018-00004662,1/19/2018 17:15,4,1,No Injury,3
2018-00004662,1/19/2018 17:15,4,2,No Injury,3
2018-00004662,1/19/2018 17:15,2,2,Possible,4
2018-00004662,1/19/2018 17:15,4,3,Possible,4
2018-00003105,1/13/2018 14:58,1,1,No Injury,3
2018-00003105,1/13/2018 14:58,2,1,No Injury,3
2018-00003870,1/9/2018 19:19,1,1,No Injury,3
2018-00003870,1/9/2018 19:19,1,2,No Injury,3
2018-00003870,1/9/2018 19:19,2,1,No Injury,3
2018-00004102,1/17/2018 17:07,1,1,No Injury,3
2018-00004102,1/17/2018 17:07,2,1,Possible,4
2018-00004349,1/18/2018 15:31,1,1,No Injury,3
2018-00004349,1/18/2018 15:31,2,1,Non-Incapacitating,5
2018-00004234,1/18/2018 6:57,1,1,Not Applicable,1
2018-00004234,1/18/2018 6:57,2,1,No Injury,3
2018-00005274,1/22/2018 8:42,1,1,No Injury,3
2018-00005274,1/22/2018 8:42,2,1,No Injury,3
2018-00005274,1/22/2018 8:42,2,2,No Injury,3
2018-00005274,1/22/2018 8:42,2,3,No Injury,3
2018-00005285,1/22/2018 9:24,2,1,No Injury,3
2018-00005285,1/22/2018 9:24,1,1,Non-Incapacitating,5
2018-00005333,1/22/2018 13:33,1,1,No Injury,3
2018-00005333,1/22/2018 13:33,2,1,Possible,4
2018-00005504,1/23/2018 7:43,1,1,No Injury,3
2018-00005504,1/23/2018 7:43,2,3,No Injury,3
2018-00005504,1/23/2018 7:43,2,4,No Injury,3
2018-00005504,1/23/2018 7:43,2,1,Non-Incapacitating,5
2018-00005504,1/23/2018 7:43,2,2,Non-Incapacitating,5
2018-00005658,1/23/2018 18:46,1,1,No Injury,3
2018-00005658,1/23/2018 18:46,1,2,No Injury,3
2018-00005658,1/23/2018 18:46,2,2,No Injury,3
2018-00005658,1/23/2018 18:46,2,1,Possible,4
2018-00005371,1/22/2018 16:04,1,1,Possible,4
2018-00005371,1/22/2018 16:04,2,1,Possible,4
2018-00004237,1/18/2018 7:15,1,2,No Injury,3
2018-00004237,1/18/2018 7:15,1,3,No Injury,3
2018-00004237,1/18/2018 7:15,1,1,Non-Incapacitating,5
2018-00004237,1/18/2018 7:15,2,1,Non-Incapacitating,5
2018-00005772,1/24/2018 8:18,1,1,No Injury,3
2018-00005772,1/24/2018 8:18,2,1,No Injury,3
2018-00005772,1/24/2018 8:18,2,2,No Injury,3
2018-00005772,1/24/2018 8:18,2,3,No Injury,3
2018-00005565,1/23/2018 12:20,1,1,No Injury,3
2018-00005565,1/23/2018 12:20,2,1,No Injury,3
2018-00005565,1/23/2018 12:20,2,2,No Injury,3
2018-00005565,1/23/2018 12:20,2,3,No Injury,3
2018-00005565,1/23/2018 12:20,2,4,No Injury,3
2018-00004604,1/19/2018 13:58,1,1,Unknown,2
2018-00004604,1/19/2018 13:58,2,1,No Injury,3
2018-00005265,1/22/2018 8:08,1,1,No Injury,3
2018-00005265,1/22/2018 8:08,2,1,No Injury,3
2018-00005362,1/22/2018 15:31,1,1,No Injury,3
2018-00005362,1/22/2018 15:31,2,1,No Injury,3
2018-00005362,1/22/2018 15:31,2,2,No Injury,3
2018-00005630,1/23/2018 16:17,1,1,No Injury,3
2018-00005630,1/23/2018 16:17,1,2,No Injury,3
2018-00005630,1/23/2018 16:17,2,1,No Injury,3
2018-00005900,1/24/2018 16:53,1,1,No Injury,3
2018-00005900,1/24/2018 16:53,1,2,No Injury,3
2018-00005900,1/24/2018 16:53,2,1,No Injury,3
2018-00005900,1/24/2018 16:53,2,2,No Injury,3
2018-00005832,1/24/2018 11:54,1,1,No Injury,3
2018-00005832,1/24/2018 11:54,2,1,No Injury,3
2018-00006033,1/25/2018 8:00,1,1,No Injury,3
2018-00006033,1/25/2018 8:00,1,2,No Injury,3
2018-00006033,1/25/2018 8:00,1,3,No Injury,3
2018-00006033,1/25/2018 8:00,2,1,Possible,4
2018-00006048,1/25/2018 8:59,1,1,No Injury,3
2018-00006048,1/25/2018 8:59,2,1,No Injury,3
2018-00006048,1/25/2018 8:59,3,1,No Injury,3
2018-00006096,1/25/2018 12:19,1,1,No Injury,3
2018-00006096,1/25/2018 12:19,2,1,No Injury,3
2018-00006096,1/25/2018 12:19,2,2,No Injury,3
2018-00004144,1/17/2018 20:54,1,1,No Injury,3
2018-00004144,1/17/2018 20:54,2,1,No Injury,3
2018-00004776,1/20/2018 7:16,1,1,Unknown,2
2018-00004098,1/18/2018 16:52,1,1,No Injury,3
2018-00004098,1/18/2018 16:52,2,1,No Injury,3
2018-00006359,1/26/2018 11:39,1,1,No Injury,3
2018-00006359,1/26/2018 11:39,2,1,No Injury,3
2018-00004476,1/19/2018 1:31,1,1,Non-Incapacitating,5
2018-00004829,1/20/2018 12:48,1,1,No Injury,3
2018-00004829,1/20/2018 12:48,2,1,No Injury,3
2018-00004829,1/20/2018 12:48,2,2,No Injury,3
2018-00004829,1/20/2018 12:48,2,3,No Injury,3
2018-00004829,1/20/2018 12:48,3,1,No Injury,3
2018-00004829,1/20/2018 12:48,3,2,Non-Incapacitating,5
2018-00005530,1/23/2018 9:52,1,1,No Injury,3
2018-00005530,1/23/2018 9:52,1,2,No Injury,3
2018-00005530,1/23/2018 9:52,2,1,No Injury,3
2018-00006106,1/25/2018 12:29,1,1,Non-Incapacitating,5
2018-00006106,1/25/2018 12:29,2,1,Non-Incapacitating,5
2018-00006142,1/25/2018 14:55,1,1,No Injury,3
2018-00006142,1/25/2018 14:55,2,1,No Injury,3
2018-00006145,1/25/2018 15:09,1,1,No Injury,3
2018-00006145,1/25/2018 15:09,1,2,No Injury,3
2018-00006145,1/25/2018 15:09,1,3,No Injury,3
2018-00006145,1/25/2018 15:09,2,1,No Injury,3
2018-00006145,1/25/2018 15:09,2,2,No Injury,3
2018-00006214,1/25/2018 20:21,1,1,No Injury,3
2018-00006214,1/25/2018 20:21,2,1,Possible,4
2018-00006251,1/26/2018 0:24,1,1,Non-Incapacitating,5
2018-00006251,1/26/2018 0:24,2,1,Incapacitating,6
2018-00006448,1/26/2018 16:36,1,1,No Injury,3
2018-00006448,1/26/2018 16:36,2,1,No Injury,3
2018-00006572,1/27/2018 0:24,1,1,Unknown,2
2018-00006572,1/27/2018 0:24,2,1,No Injury,3
2018-00006691,1/27/2018 12:35,1,1,No Injury,3
2018-00006691,1/27/2018 12:35,2,1,No Injury,3
2018-00006452,1/26/2018 16:47,1,1,No Injury,3
2018-00006452,1/26/2018 16:47,2,1,No Injury,3
2018-00006452,1/26/2018 16:47,3,1,No Injury,3
2018-00003063,1/13/2018 12:37,2,1,Not Applicable,1
2018-00003063,1/13/2018 12:37,1,1,Unknown,2
2018-00006763,1/27/2018 15:16,2,1,Not Applicable,1
2018-00006763,1/27/2018 15:16,1,1,No Injury,3
2018-00007118,1/28/2018 17:36,1,1,Possible,4
2018-00007118,1/28/2018 17:36,1,2,Possible,4
2018-00007118,1/28/2018 17:36,1,3,Possible,4
2018-00007364,1/29/2018 16:16,1,1,No Injury,3
2018-00007364,1/29/2018 16:16,2,1,No Injury,3
2018-00007364,1/29/2018 16:16,2,2,No Injury,3
2018-00005882,1/24/2018 15:20,1,1,No Injury,3
2018-00005882,1/24/2018 15:20,2,1,No Injury,3
2018-00006830,1/27/2018 18:16,1,1,Unknown,2
2018-00006830,1/27/2018 18:16,2,1,No Injury,3
2018-00007355,1/29/2018 15:32,1,1,No Injury,3
2018-00007355,1/29/2018 15:32,2,1,No Injury,3
2018-00007552,1/30/2018 12:21,1,1,No Injury,3
2018-00007552,1/30/2018 12:21,2,1,No Injury,3
2018-00007552,1/30/2018 12:21,2,2,No Injury,3
2018-00007552,1/30/2018 12:21,2,3,No Injury,3
2018-00007552,1/30/2018 12:21,2,4,No Injury,3
2018-00007592,1/30/2018 15:15,1,1,Unknown,2
2018-00007527,1/30/2018 10:27,2,1,No Injury,3
2018-00007527,1/30/2018 10:27,1,1,Non-Incapacitating,5
2018-00005905,1/24/2018 17:15,1,1,No Injury,3
2018-00005905,1/24/2018 17:15,2,1,No Injury,3
2018-00005905,1/24/2018 17:15,2,2,No Injury,3
2018-00007877,1/31/2018 16:04,1,1,No Injury,3
2018-00007877,1/31/2018 16:04,2,1,No Injury,3
2018-00007397,1/29/2018 18:51,1,1,Unknown,2
2018-00007618,1/30/2018 16:48,1,1,No Injury,3
2018-00007618,1/30/2018 16:48,2,1,No Injury,3
2018-00007618,1/30/2018 16:48,2,2,No Injury,3
2018-00007579,1/30/2018 14:05,2,1,Not Applicable,1
2018-00007579,1/30/2018 14:05,1,1,No Injury,3
2018-00007579,1/30/2018 14:05,1,2,No Injury,3
2018-00007842,1/31/2018 13:38,2,1,Not Applicable,1
2018-00007842,1/31/2018 13:38,1,1,No Injury,3
2018-00007876,1/31/2018 15:58,1,1,No Injury,3
2018-00007876,1/31/2018 15:58,2,1,No Injury,3
2018-00007876,1/31/2018 15:58,1,2,Possible,4
2018-00007876,1/31/2018 15:58,2,2,Possible,4
2018-00007876,1/31/2018 15:58,2,3,Possible,4
2018-00006758,1/27/2018 15:07,1,1,Non-Incapacitating,5
2018-00007342,1/29/2018 15:10,1,1,No Injury,3
2018-00007342,1/29/2018 15:10,2,1,No Injury,3
2018-00007342,1/29/2018 15:10,3,1,No Injury,3
2018-00007631,1/30/2018 17:25,1,1,No Injury,3
2018-00007631,1/30/2018 17:25,1,2,No Injury,3
2018-00007631,1/30/2018 17:25,2,1,No Injury,3
2018-00007631,1/30/2018 17:25,3,1,No Injury,3
2018-00007666,1/30/2018 20:12,1,1,No Injury,3
2018-00007666,1/30/2018 20:12,2,1,No Injury,3
2018-00007666,1/30/2018 20:12,2,2,Possible,4
2018-00007666,1/30/2018 20:12,2,3,Possible,4
2018-00007867,1/31/2018 15:22,1,1,Unknown,2
2018-00007867,1/31/2018 15:22,1,2,No Injury,3
2018-00007867,1/31/2018 15:22,2,1,Non-Incapacitating,5
2018-00007950,1/31/2018 20:59,1,1,Possible,4
2018-00007950,1/31/2018 20:59,2,1,Possible,4
2018-00008059,1/31/2018 14:45,2,1,Not Applicable,1
2018-00008059,1/31/2018 14:45,1,1,No Injury,3
2018-00007385,1/29/2018 17:53,1,1,No Injury,3
2018-00007385,1/29/2018 17:53,3,1,No Injury,3
2018-00007385,1/29/2018 17:53,3,2,No Injury,3
2018-00007385,1/29/2018 17:53,2,1,Possible,4
2018-00002154,1/9/2018 20:37,1,1,No Injury,3
2018-00002154,1/9/2018 20:37,2,1,No Injury,3
2018-00000161,1/1/2018 18:02,1,1,Non-Incapacitating,5
2018-00000161,1/1/2018 18:02,1,2,Non-Incapacitating,5
2018-00007488,1/30/2018 7:14,1,1,No Injury,3
2018-00007488,1/30/2018 7:14,1,2,No Injury,3
2018-00007488,1/30/2018 7:14,1,3,No Injury,3
2018-00007488,1/30/2018 7:14,2,1,No Injury,3
2018-00003359,1/14/2018 15:34,2,2,Unknown,2
2018-00003359,1/14/2018 15:34,2,3,Unknown,2
2018-00003359,1/14/2018 15:34,2,4,Unknown,2
2018-00003359,1/14/2018 15:34,1,1,No Injury,3
2018-00003359,1/14/2018 15:34,2,1,Possible,4
2018-00005283,1/22/2018 9:02,1,1,Non-Incapacitating,5
2018-00005283,1/22/2018 9:02,3,1,Non-Incapacitating,5
2018-00005283,1/22/2018 9:02,3,2,Non-Incapacitating,5
2018-00005283,1/22/2018 9:02,4,1,Non-Incapacitating,5
2018-00005283,1/22/2018 9:02,2,1,Incapacitating,6
2018-00005014,1/21/2018 0:50,1,1,Possible,4
2018-00002049,1/9/2018 12:27,1,1,Fatal,7
2018-00002049,1/9/2018 12:27,2,1,Fatal,7
2018-00007813,1/31/2018 12:10,1,1,Non-Incapacitating,5
2018-00007813,1/31/2018 12:10,2,1,Non-Incapacitating,5
2019-00001288,1/6/2018 13:26,1,1,No Injury,3
2019-00001288,1/6/2018 13:26,2,1,No Injury,3
2019-00005287,1/20/2018 19:20,1,1,No Injury,3
2019-00005287,1/20/2018 19:20,2,1,No Injury,3
2019-00005287,1/20/2018 19:20,2,2,No Injury,3
2019-00006985,1/26/2018 21:04,2,1,Not Applicable,1
2019-00006985,1/26/2018 21:04,1,1,No Injury,3
2018-00004023,1/17/2018 11:55,1,1,Fatal,7
